ID,NAME,SMILES,NaClg/L,Temp,Concentration,IE
10839,Imidazolines containing  twin hydrophobes（7b）,CCCCCCCCOc2ccc(/C1=N/CCN1CCN)cc2OCCCCCCCC,29.25,313K,20ppm,84.10%
10840,Imidazolines containing  twin hydrophobes（7b）,CCCCCCCCOc2ccc(/C1=N/CCN1CCN)cc2OCCCCCCCC,29.25,313K,50ppm,92.10%
10841,Imidazolines containing  twin hydrophobes（7b）,CCCCCCCCOc2ccc(/C1=N/CCN1CCN)cc2OCCCCCCCC,29.25,313K,100ppm,56.10%
10842,Imidazolines containing  twin hydrophobes（7c）,CCCCCCCCOc2cc(/C1=N/CCN1CCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,1ppm,56.10%
10843,Imidazolines containing  twin hydrophobes（7c）,CCCCCCCCOc2cc(/C1=N/CCN1CCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,5ppm,62.30%
10844,Imidazolines containing  twin hydrophobes（7c）,CCCCCCCCOc2cc(/C1=N/CCN1CCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,10ppm,68.10%
10845,Imidazolines containing  twin hydrophobes（7c）,CCCCCCCCOc2cc(/C1=N/CCN1CCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,20ppm,71.50%
10846,Imidazolines containing  twin hydrophobes（7c）,CCCCCCCCOc2cc(/C1=N/CCN1CCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,50ppm,79.90%
10847,Imidazolines containing  twin hydrophobes（7c）,CCCCCCCCOc2cc(/C1=N/CCN1CCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,100ppm,85.40%
10848,Imidazolines containing  twin hydrophobes（8a）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,1ppm,44.60%
10849,Imidazolines containing  twin hydrophobes（8a）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,5ppm,58.10%
10850,Imidazolines containing  twin hydrophobes（8a）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,10ppm,68.10%
10851,Imidazolines containing  twin hydrophobes（8a）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,20ppm,74.70%
10852,Imidazolines containing  twin hydrophobes（8a）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,50ppm,82.60%
10853,Imidazolines containing  twin hydrophobes（8a）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,100ppm,90.20%
10854,Imidazolines containing  twin hydrophobes（8b）,CCCCCCCCOc2cc(OCCCCCCCC)cc(/C1=N/CCN1CCNCCNCCN)c2,29.25,313K,1ppm,48.90%
10855,Imidazolines containing  twin hydrophobes（8b）,CCCCCCCCOc2cc(OCCCCCCCC)cc(/C1=N/CCN1CCNCCNCCN)c2,29.25,313K,5ppm,67.00%
10856,Imidazolines containing  twin hydrophobes（8b）,CCCCCCCCOc2cc(OCCCCCCCC)cc(/C1=N/CCN1CCNCCNCCN)c2,29.25,313K,10ppm,76.30%
10857,Imidazolines containing  twin hydrophobes（8b）,CCCCCCCCOc2cc(OCCCCCCCC)cc(/C1=N/CCN1CCNCCNCCN)c2,29.25,313K,20ppm,84.20%
10858,Imidazolines containing  twin hydrophobes（8b）,CCCCCCCCOc2cc(OCCCCCCCC)cc(/C1=N/CCN1CCNCCNCCN)c2,29.25,313K,50ppm,93.80%
10859,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,100ppm,97.10%
10860,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,1ppm,49.10%
10861,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,5ppm,56.20%
10862,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,10ppm,62.30%
10863,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,20ppm,67.10%
10864,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,50ppm,78.30%
10865,Imidazolines containing  twin hydrophobes（8c）,CCCCCCCCOc2cc(/C1=N/CCN1CCNCCNCCN)cc(OCCCCCCCC)c2OCCCCCCCC,29.25,313K,100ppm,84.10%
10866,"1,2,4,7,9,10-Hexaazacyclo-pentadeca-10,15-dien-3,5,6,8-tetraone (HPT)",O=C1N/N=C\CCC/C=N\NNC(=O)NC(=O)C(=O)N1,35,298K,50ppm,66.00%
10867,"1,2,4,7,9,10-Hexaazacyclo-pentadeca-10,15-dien-3,5,6,8-tetraone (HPT)",O=C1N/N=C\CCC/C=N\NNC(=O)NC(=O)C(=O)N1,35,298K,100ppm,72.00%
10868,"1,2,4,7,9,10-Hexaazacyclo-pentadeca-10,15-dien-3,5,6,8-tetraone (HPT)",O=C1N/N=C\CCC/C=N\NNC(=O)NC(=O)C(=O)N1,35,298K,200ppm,85.00%
10869,"1,2,4,7,9,10-Hexaazacyclo-pentadeca-10,15-dien-3,5,6,8-tetraone (HPT)",O=C1N/N=C\CCC/C=N\NNC(=O)NC(=O)C(=O)N1,35,298K,400ppm,92.00%
10870, synthesized imidazoline-based inhibitor,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,30,333K,0.4878×10 -5 mol/L,46.87%
10871, synthesized imidazoline-based inhibitor,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,30,333K,1.2195×10 -5 mol/L,95.54%
10872, synthesized imidazoline-based inhibitor,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,30,333K,1.9512×10 -5 mol/L,95.82%
10873, synthesized imidazoline-based inhibitor,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,30,333K,2.4390×10 -5 mol/L,96.58%
10874, synthesized imidazoline-based inhibitor,CCCCCCCCCCCCCCCCC/C1=N/CCN1CCNC(N)=S,30,333K,4.8780×10 -5 mol/L,98.05%
10875,"4,4,4,4-(porphyrin-5,10,15,20-tetrayl)-tetrakis(benzoic acid (HPTB)     ",O=C(O)c9ccc(c7c1ccc(n1)c(c2ccc(C(=O)O)cc2)c3ccc([nH]3)c(c4ccc(C(=O)O)cc4)c5ccc(n5)c(c6ccc(C(=O)O)cc6)c8ccc7[nH]8)cc9,35,298K,50ppm ,18%
10876,"4,4,4,4-(porphyrin-5,10,15,20-tetrayl)-tetrakis(benzoic acid (HPTB)     ",O=C(O)c9ccc(c7c1ccc(n1)c(c2ccc(C(=O)O)cc2)c3ccc([nH]3)c(c4ccc(C(=O)O)cc4)c5ccc(n5)c(c6ccc(C(=O)O)cc6)c8ccc7[nH]8)cc9,35,298K,100ppm ,49%
10877,"4,4,4,4-(porphyrin-5,10,15,20-tetrayl)-tetrakis(benzoic acid (HPTB)     ",O=C(O)c9ccc(c7c1ccc(n1)c(c2ccc(C(=O)O)cc2)c3ccc([nH]3)c(c4ccc(C(=O)O)cc4)c5ccc(n5)c(c6ccc(C(=O)O)cc6)c8ccc7[nH]8)cc9,35,298K,200ppm ,82%
10878,"5,10,15,20-tetra(4-pyridyl)-21H,23H-porphyrin (T4PP)",c9cc(c7c1ccc(n1)c(c2ccncc2)c3ccc([nH]3)c(c4ccncc4)c5ccc(n5)c(c6ccncc6)c8ccc7[nH]8)ccn9,35,298K,50ppm ,26%
10879,"5,10,15,20-tetra(4-pyridyl)-21H,23H-porphyrin (T4PP)",c9cc(c7c1ccc(n1)c(c2ccncc2)c3ccc([nH]3)c(c4ccncc4)c5ccc(n5)c(c6ccncc6)c8ccc7[nH]8)ccn9,35,298K,100ppm,46%
10880,"5,10,15,20-tetra(4-pyridyl)-21H,23H-porphyrin (T4PP)",c9cc(c7c1ccc(n1)c(c2ccncc2)c3ccc([nH]3)c(c4ccncc4)c5ccc(n5)c(c6ccncc6)c8ccc7[nH]8)ccn9,35,298K,200ppm,85%
10881,"5,10,15,20-tetrakis(4-hydroxyphenyl)-21H,23H-porphyrin (THP) ",Oc9ccc(c7c1ccc(n1)c(c2ccc(O)cc2)c3ccc([nH]3)c(c4ccc(O)cc4)c5ccc(n5)c(c6ccc(O)cc6)c8ccc7[nH]8)cc9,35,298K,50ppm,35%
10882,"5,10,15,20-tetrakis(4-hydroxyphenyl)-21H,23H-porphyrin (THP) ",Oc9ccc(c7c1ccc(n1)c(c2ccc(O)cc2)c3ccc([nH]3)c(c4ccc(O)cc4)c5ccc(n5)c(c6ccc(O)cc6)c8ccc7[nH]8)cc9,35,298K,100ppm,53%
10883,"5,10,15,20-tetrakis(4-hydroxyphenyl)-21H,23H-porphyrin (THP) ",Oc9ccc(c7c1ccc(n1)c(c2ccc(O)cc2)c3ccc([nH]3)c(c4ccc(O)cc4)c5ccc(n5)c(c6ccc(O)cc6)c8ccc7[nH]8)cc9,35,298K,200ppm,80%
10884,"5,10,15,20-tetraphenyl-21H,23H-porphyrin (TPP)",c9ccc(c7c1ccc(n1)c(c2ccccc2)c3ccc([nH]3)c(c4ccccc4)c5ccc(n5)c(c6ccccc6)c8ccc7[nH]8)cc9,35,298K,50ppm,24%
10885,"5,10,15,20-tetraphenyl-21H,23H-porphyrin (TPP)",c9ccc(c7c1ccc(n1)c(c2ccccc2)c3ccc([nH]3)c(c4ccccc4)c5ccc(n5)c(c6ccccc6)c8ccc7[nH]8)cc9,35,298K,100ppm,37%
10886,"5,10,15,20-tetraphenyl-21H,23H-porphyrin (TPP)",c9ccc(c7c1ccc(n1)c(c2ccccc2)c3ccc([nH]3)c(c4ccccc4)c5ccc(n5)c(c6ccccc6)c8ccc7[nH]8)cc9,35,298K,200ppm,84%
10887,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,25 mg/L,64.00%
10888,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,50mg/L,85.00%
10889,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,100mg/L,92.00%
10890,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,200mg/L,93.00%
10891,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,300mg/L,96.00%
10892,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,400mg/L,98.00%
10893,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,298K,100mg/L,91.50%
10894,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,313K,100mg/L,92.50%
10895,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,333K,100mg/L,96.70%
10896,DDTI,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCNC(=O)CCN(CCC(=O)NCCN2CC/N=C2/CCCCCCC/C=C/CCCCCCCC)CCN(CCC(=O)NCCN3CC/N=C3/CCCCCCC/C=C/CCCCCCCC)CCC(=O)NCCN4CC/N=C4/CCCCCCC/C=C/CCCCCCCC,30,353K,100mg/L,97.50%
10897,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,10mg/L,18.41%
10898,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,20mg/L,34.60%
10899,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,30mg/L,53.82%
10900,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,40mg/L,56.60%
10901,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,50mg/L,67.90%
10902,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,60mg/L,86.13%
10903,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,70mg/L,89.05%
10904,Sophorolipids,CC(=O)OC[C@H]3OC2O[C@@H](C)CCCCCC/C=C\CCCCCCCC(=O)OC1[C@H](O)[C@@H](O)C(O[C@@H]1COC(C)=O)OC2[C@@H](O)[C@@H]3O,16.6172,298K,300mg/L,94.89%
10905,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,10,323K,30wt.%,35.70%
10906,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,10,323K,50wt.%,56.70%
10907,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,10,323K,70wt.%,71.30%
10908,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,10,323K,90wt.%,93.10%
10909,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,50,323K,50wt.%,71.40%
10910,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,50,323K,90wt.%,90.80%
10911,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,100,323K,70wt.%,56.30%
10912,Monoethylene glycol,C=C(c1ccccc1)C5(c2ccccc2)/C(c3ccccc3)=C(c4ccccc4)\[Si]5(C)C,100,323K,90wt.%,82.00%
10913,Thiourea (TU),NC(N)=S,30,333K,10mg/L,79.80%
10914,berberine（BB）,COc5ccc4CC3c2cc1OCOc1cc2CCN3Cc4c5OC,30,333K,10mg/L,1.80%
10915,berberine（BB）,COc5ccc4CC3c2cc1OCOc1cc2CCN3Cc4c5OC,30,333K,50mg/L,7.20%
10916,berberine（BB）,COc5ccc4CC3c2cc1OCOc1cc2CCN3Cc4c5OC,30,333K,100mg/L,15.90%
10917,poly(methylmethacrylate-co-N-vinyl-2-pyrrolidone),CC(CCC(=O)O)N1CCCC1=O,35,393K,5 mL/L,94.00%
10918,poly(methylmethacrylate-co-N-vinyl-2-pyrrolidone),CC(CCC(=O)O)N1CCCC1=O,35,393K,5 mL/L,92.00%
10919,poly(methylmethacrylate-co-N-vinyl-2-pyrrolidone),CC(CCC(=O)O)N1CCCC1=O,35,393K,5 mL/L,82.00%
10920,poly(methylmethacrylate-co-N-vinyl-2-pyrrolidone),CC(CCC(=O)O)N1CCCC1=O,35,393K,5 mL/L,77.00%
10921,ethoxy- (5-methyl-benzotriazol-1-yl) (EMB),Cc1ccc2c(c1)nnn2CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,12.029,323K,25ppm,65.20%
10922,ethoxy- (5-methyl-benzotriazol-1-yl) (EMB),Cc1ccc2c(c1)nnn2CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,12.029,323K,50ppm,79.90%
10923,ethoxy- (5-methyl-benzotriazol-1-yl) (EMB),Cc1ccc2c(c1)nnn2CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,12.029,323K,75ppm,86.10%
10924,ethoxy- (5-methyl-benzotriazol-1-yl) (EMB),Cc1ccc2c(c1)nnn2CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,12.029,323K,100ppm,89.00%
10925,ethoxy- (5-methyl-benzotriazol-1-yl) (EMB),Cc1ccc2c(c1)nnn2CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,12.029,323K,125ppm,92.20%
10926,ethoxy- (5-methyl-benzotriazol-1-yl) (EMB),Cc1ccc2c(c1)nnn2CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,12.029,323K,150ppm,93.80%
10927,"1-benzyl-quinolinium chloride, QB ",C1=CC=C2[N+](CC3C=CC=CC=3)=CC=CC2=C1.[Cl-],2.15,333±1K,100mg/L,95.20%
10928,"1,3-bis(dodecyldimethylammonium chloride)-2-propanol, 12-3OH-12 for short)",CCCCCCCCCCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCCCCCCCCCC,2.15,333±1K,50mg/L,91.70%
10929,"a series of amides were synthesized from pure fatty acids C18：(a) stearic amide (18 : 0), (b) oleic amide (18 : 1 n-9), and (c) linoleic amide (18 : 2 n-6)",CCCCCCCCCCCCCCCCCC(=O)NCCNCCO,30,323K,25ppm,98.00%
10930,"a series of amides were synthesized from pure fatty acids C18：(a) stearic amide (18 : 0), (b) oleic amide (18 : 1 n-9), and (c) linoleic amide (18 : 2 n-6)",CCCCCCCCCCCCCCCCCC(=O)NCCNCCO,30,323K,25ppm,99.00%
10931,"a series of amides were synthesized from pure fatty acids C18：(a) stearic amide (18 : 0), (b) oleic amide (18 : 1 n-9), and (c) linoleic amide (18 : 2 n-6)",CCCCCCCCCCCCCCCCCC(=O)NCCNCCO,30,323K,25ppm,99.00%
10932,Imidazoline,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCN,0,298K,50mg/L,76.77%
10933,Imidazoline,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCN,0,298K,100mg/L,85.63%
10934,Imidazoline,CCCCCCCC/C=C/CCCCCCC/C1=N/CCN1CCN,0,298K,200mg/L,90.40%
10935,imidazolines（8a，a，R=C8H17）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,1ppm,51.80%
10936,imidazolines（8a，a，R=C8H17）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,5ppm,62.80%
10937,imidazolines（8a，a，R=C8H17）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,10ppm,70.10%
10938,imidazolines（8a，a，R=C8H17）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,20ppm,76.20%
10939,imidazolines（8a，a，R=C8H17）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,50ppm,83.30%
10940,imidazolines（8a，a，R=C8H17）,CCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,100ppm,92.00%
10941,imidazolines（8b，b，R=C12H25）,CCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,1ppm,54.40%
10942,imidazolines（8b，b，R=C12H25）,CCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,5ppm,68.40%
10943,imidazolines（8b，b，R=C12H25）,CCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,10ppm,74.50%
10944,imidazolines（8b，b，R=C12H25）,CCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,20ppm,81.20%
10945,imidazolines（8b，b，R=C12H25）,CCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,50ppm,86.50%
10946,imidazolines（8b，b，R=C12H25）,CCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,100ppm,93.80%
10947,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,303K,1ppm,53.80%
10948,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,303K,2ppm,58.10%
10949,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,303K,3ppm,61.40%
10950,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,303K,5ppm,71.40%
10951,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,303K,10ppm,76.80%
10952,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,303K,20ppm,90.40%
10953,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,1ppm,58.40%
10954,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,5ppm,72.70%
10955,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,10ppm,79.90%
10956,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,20ppm,91.60%
10957,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,50ppm,95.40%
10958,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,313K,100ppm,98.10%
10959,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,323K,1ppm,47.50%
10960,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,323K,2ppm,50.70%
10961,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,323K,3ppm,54.20%
10962,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,323K,5ppm,68.30%
10963,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,323K,10ppm,74.50%
10964,imidazolines（8c，c，R=C18H37）,CCCCCCCCCCCCCCCCCCOc2ccc(/C1=N/CCN1CCNCCNCCN)cc2,29.25,323K,20ppm,86.80%
10965,Berberine extract,COc5ccc4cc3c2cc1OCOc1cc2CC[n+]3cc4c5OC,35,393K,5 mL/L,60.00%
10966,Berberine extract,COc5ccc4cc3c2cc1OCOc1cc2CC[n+]3cc4c5OC,35,393K,5 mL/L,78.00%
